Fecha y hora	Nombre de archivo	Error	Mensaje
2019-11-10 12:48:02.266 -0300	e-ficha IIIe.fmp12	0	Importación de operaciones iniciada
2019-11-10 12:48:02.267 -0300	e-ficha IIIe.fmp12	0	Importación de campos desde el portapapeles iniciada
2019-11-10 12:48:02.272 -0300	consulta	0	campos importados : 7
2019-11-10 12:48:02.272 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 12:49:01.417 -0300	e-ficha IIIe.fmp12	0	Importación de operaciones consignada
2019-11-10 12:49:01.418 -0300	e-ficha IIIe.fmp12	0	==================================================================
2019-11-10 15:00:13.648 -0300	e-ficha IIIe.fmp12	0	Importación de operaciones iniciada
2019-11-10 15:00:13.648 -0300	e-ficha IIIe.fmp12	0	Importación de campos desde el portapapeles iniciada
2019-11-10 15:00:13.651 -0300	receta libre	0	campos importados : 4
2019-11-10 15:00:13.651 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 15:07:01.401 -0300	e-ficha IIIe.fmp12	0	Importación de operaciones consignada
2019-11-10 15:07:01.401 -0300	e-ficha IIIe.fmp12	0	==================================================================
2019-11-10 17:24:26.997 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 17:24:26.998 -0300	agregar user	0	pasos de guión importados : 4
2019-11-10 17:24:26.999 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 17:27:43.428 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 17:27:43.430 -0300	agregar user	0	pasos de guión importados : 5
2019-11-10 17:27:43.430 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 17:46:08.206 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 17:46:08.209 -0300	agregar user	0	pasos de guión importados : 4
2019-11-10 17:46:08.209 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 17:46:52.959 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 17:46:52.960 -0300	agregar user Copia	0	pasos de guión importados : 5
2019-11-10 17:46:52.960 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 21:23:01.549 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 21:23:01.550 -0300	nueva consulta psi	0	pasos de guión importados : 3
2019-11-10 21:23:01.550 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 21:25:38.437 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 21:25:38.439 -0300	nueva consulta nut	0	pasos de guión importados : 4
2019-11-10 21:25:38.439 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 21:47:18.648 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 21:47:18.650 -0300	emiteRecetaConsultaNut	0	pasos de guión importados : 8
2019-11-10 21:47:18.650 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 23:10:53.534 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 23:10:53.535 -0300	buscaFichaPsi	0	pasos de guión importados : 2
2019-11-10 23:10:53.536 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-10 23:11:15.525 -0300	e-ficha IIIe.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-10 23:11:15.527 -0300	buscaFichaNut	0	pasos de guión importados : 2
2019-11-10 23:11:15.527 -0300	e-ficha IIIe.fmp12	0	Importación completada
2019-11-11 23:10:50.314 -0300	e-ficha 3h.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-11 23:10:50.315 -0300	primerRegistroPsi	0	pasos de guión importados : 2
2019-11-11 23:10:50.315 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-11 23:10:57.850 -0300	e-ficha 3h.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-11 23:10:57.850 -0300	primerRegistroNut	0	pasos de guión importados : 2
2019-11-11 23:10:57.850 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-11 23:11:01.826 -0300	e-ficha 3h.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-11 23:11:01.827 -0300	primerRegistroNut	0	pasos de guión importados : 2
2019-11-11 23:11:01.827 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-11 23:57:03.442 -0300	e-ficha 3h.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-11 23:57:03.444 -0300	nueva consulta	0	pasos de guión importados : 1
2019-11-11 23:57:03.444 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-12 00:01:10.155 -0300	e-ficha 3h.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-12 00:01:10.158 -0300	nuevaConsultaOrdenada	0	pasos de guión importados : 8
2019-11-12 00:01:10.158 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-12 00:01:13.394 -0300	e-ficha 3h.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2019-11-12 00:01:13.395 -0300	nuevaConsultaOrdenada	0	pasos de guión importados : 8
2019-11-12 00:01:13.395 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-12 01:53:42.503 -0300	e-ficha 3h.fmp12	0	Importación de operaciones iniciada
2019-11-12 01:53:42.503 -0300	e-ficha 3h.fmp12	0	Importación de campos desde el portapapeles iniciada
2019-11-12 01:53:42.506 -0300	paciente	0	campos importados : 1
2019-11-12 01:53:42.507 -0300	e-ficha 3h.fmp12	0	Importación completada
2019-11-12 01:54:10.189 -0300	e-ficha 3h.fmp12	0	Importación de operaciones consignada
2019-11-12 01:54:10.189 -0300	e-ficha 3h.fmp12	0	==================================================================
